CountryCode,D_DATE,C_DESC,F_WORKDAY
CN,2021-05-05,劳动节,0
CN,2021-05-08,劳动节调休,1
CN,2021-06-14,端午节,0
CN,2021-09-18,中秋调休,1
CN,2021-09-19,中秋节,0
CN,2021-09-20,中秋节,0
CN,2021-09-21,中秋节,0
CN,2021-09-26,国庆调休,1
CN,2021-10-01,国庆节,0
CN,2021-10-02,国庆节,0
CN,2021-10-03,国庆节,0
CN,2021-10-04,国庆节,0
CN,2021-10-05,国庆节,0
CN,2021-10-06,国庆节,0
CN,2021-10-07,国庆节,0
CN,2021-10-09,国庆调休,1
CN,2022-01-01,元旦,0
CN,2022-01-02,元旦,0
CN,2022-01-03,元旦,0
CN,2022-01-29,春节调休,1
CN,2022-01-30,春节调休,1
CN,2022-01-31,春节,0
CN,2022-02-01,春节,0
CN,2022-02-02,春节,0
CN,2022-02-03,春节,0
CN,2022-02-04,春节,0
CN,2022-02-05,春节,0
CN,2022-02-06,春节,0
CN,2022-04-02,清明调休,1
CN,2022-04-03,清明节,0
CN,2022-04-04,清明节,0
CN,2022-04-05,清明节,0
CN,2022-04-24,劳动节调休,1
CN,2022-04-30,劳动节,0
CN,2022-05-01,劳动节,0
CN,2022-05-02,劳动节,0
CN,2022-05-03,劳动节,0
CN,2022-05-04,劳动节,0
CN,2022-05-07,劳动节调休,1
CN,2022-06-03,端午节,0
CN,2022-06-04,端午节,0
CN,2022-06-05,端午节,0
CN,2022-09-10,中秋节,0
CN,2022-09-11,中秋节,0
CN,2022-09-12,中秋节,0
CN,2022-10-01,国庆节,0
CN,2022-10-02,国庆节,0
CN,2022-10-03,国庆节,0
CN,2022-10-04,国庆节,0
CN,2022-10-05,国庆节,0
CN,2022-10-06,国庆节,0
CN,2022-10-07,国庆节,0
CN,2022-10-08,国庆调休,1
CN,2022-10-09,国庆调休,1
CN,2022-12-31,监管调整,1
CN,2023-01-01,元旦,0
CN,2023-01-02,元旦,0
CN,2023-01-21,春节,0
CN,2023-01-22,春节,0
CN,2023-01-23,春节,0
CN,2023-01-24,春节,0
CN,2023-01-25,春节,0
CN,2023-01-26,春节,0
CN,2023-01-27,春节,0
CN,2023-01-28,春节调休,1
CN,2023-01-29,春节调休,1
CN,2023-04-05,清明节,0
CN,2023-04-23,劳动节调休,1
CN,2023-04-29,劳动节,0
CN,2023-04-30,劳动节,0
CN,2023-05-01,劳动节,0
CN,2023-05-02,劳动节,0
CN,2023-05-03,劳动节,0
CN,2023-05-06,劳动节调休,1
CN,2023-06-22,端午节,0
CN,2023-06-23,端午节,0
CN,2023-06-24,端午节,0
CN,2023-06-25,端午节调休,1
CN,2023-09-29,中秋节,0
CN,2023-09-30,国庆节,0
CN,2023-10-01,国庆节,0
CN,2023-10-02,国庆节,0
CN,2023-10-03,国庆节,0
CN,2023-10-04,国庆节,0
CN,2023-10-05,国庆节,0
CN,2023-10-06,国庆节,0
CN,2023-10-07,国庆调休,1
CN,2023-10-08,国庆调休,1
CN,2023-12-31,监管调整,1
